word, frequency in 1, frequency in 2, frequency in 3, frequency in 4, frequency in 5, probability in 1, probability in 2, probability in 3, probability in 4, probability in 5, score,stdev
started,0.19956,0.10395,0.05098,0.02984,0.02373,0.489045729,0.25474195,0.124932608,0.073126501,0.058153213,1.95659952,0.160247698
dryers,0.19956,0.1576,0.20187,0.20674,0.24249,0.197925138,0.156308889,0.200216214,0.205046317,0.240503442,3.133894035,0.026755407
get,0.19956,0.26491,0.28547,0.21952,0.1882,0.172382219,0.2288323,0.246592264,0.189623896,0.162569321,2.9411658,0.032476458
could,0.19956,0.11401,0.11215,0.08525,0.08204,0.336520463,0.192256454,0.189119914,0.143758115,0.138345053,2.555150841,0.071806208
year,0.19956,0.14419,0.12031,0.08099,0.06957,0.324688425,0.234600241,0.195746966,0.131772477,0.113191891,2.474179168,0.076096138
really,0.19956,0.24143,0.24673,0.25043,0.28995,0.162494911,0.196588226,0.200903835,0.203916619,0.236096409,3.15453139,0.023398203
all,0.19956,0.29173,0.24877,0.21313,0.24491,0.166563726,0.243493865,0.207637092,0.177889992,0.204415324,3.010099324,0.02674462
new,0.19956,0.12407,0.09991,0.0682,0.10536,0.334215374,0.20778764,0.167325406,0.114218724,0.176452855,2.590906046,0.073559416
day,0.19956,0.08383,0.06525,0.06181,0.08204,0.405206197,0.170216654,0.13249,0.125505086,0.166582063,2.478040163,0.104134991
diffuser,0.19956,0.07377,0.08156,0.07673,0.06233,0.404008503,0.1493471,0.165117927,0.155339609,0.126186861,2.450349226,0.10280552
didn,0.17738,0.22467,0.1407,0.09591,0.07078,0.250028191,0.316686401,0.19832544,0.135191137,0.099768832,2.517986017,0.077933069
burned,0.17738,0.03689,0,0,0,0.827834041,0.172165959,0,0,0,1.172165959,0.32092065
even,0.17738,0.19113,0.14273,0.07353,0.12708,0.24918171,0.268497577,0.200505725,0.103294233,0.178520756,2.693474749,0.058179683
before,0.17738,0.13413,0.10399,0.09378,0.07962,0.301205638,0.227763627,0.176583461,0.159246052,0.135201223,2.599473595,0.05902796
went,0.17738,0.07377,0.03466,0.0373,0.03097,0.500960235,0.208342747,0.097887483,0.105343425,0.087466109,2.070012427,0.156650805
ago,0.17738,0.07377,0.05302,0.0309,0.04826,0.462734459,0.192445152,0.138314246,0.080609397,0.125896747,2.214488822,0.136115401
conair,0.17738,0.16766,0.13662,0.09271,0.10496,0.261110212,0.246801996,0.201109917,0.136472701,0.154505174,2.67646063,0.049054283
turn,0.17738,0.09724,0.08564,0.04689,0.02212,0.413213129,0.226524099,0.199501479,0.109231952,0.051529341,2.159340275,0.123649497
within,0.17738,0.04024,0.02243,0.02451,0.0181,0.627538385,0.142361848,0.079353287,0.086711951,0.064034529,1.81734239,0.215400858
however,0.15521,0.11401,0.15089,0.11189,0.03257,0.274917194,0.2019413,0.267265352,0.19818623,0.057689923,2.561790389,0.077969776
less,0.15521,0.12407,0.09788,0.0714,0.09732,0.284329889,0.227284385,0.179306807,0.130797978,0.178280941,2.691415696,0.052047696
times,0.15521,0.08383,0.04894,0.05968,0.03861,0.401817382,0.217024361,0.126698941,0.154503327,0.099955989,2.333756181,0.108140539
heavy,0.15521,0.12742,0.18963,0.15239,0.09571,0.215461714,0.17688378,0.263243378,0.211547004,0.132864123,2.869468044,0.043390571
blows,0.15521,0.06371,0.03874,0.03304,0.03056,0.48312893,0.198312893,0.120587686,0.102845048,0.095125444,2.128525182,0.146225107
waste,0.15521,0.03353,0,0,0,0.822348204,0.177651796,0,0,0,1.177651796,0.318690047
heat,0.15521,0.24814,0.31809,0.27707,0.23083,0.126254738,0.201848146,0.258748597,0.225381099,0.18776742,3.146558316,0.044015936
worked,0.15521,0.19449,0.08972,0.04156,0.0571,0.288451531,0.361451829,0.166741005,0.077237585,0.106118049,2.351118793,0.108518163
attachment,0.15521,0.057,0.07748,0.07673,0.03499,0.386662016,0.141999452,0.193019606,0.191151192,0.087167734,2.450163175,0.101059309
years,0.15521,0.18778,0.17128,0.14386,0.24129,0.172566765,0.208778991,0.190433835,0.159947522,0.268272887,3.142580774,0.037911879
first,0.15521,0.16766,0.10399,0.12148,0.13512,0.22709449,0.245310625,0.152152284,0.177742662,0.197699939,2.873642934,0.033398346
purchase,0.15521,0.09054,0.05302,0.08952,0.09611,0.320417011,0.186911643,0.109454996,0.184805945,0.198410405,2.75388109,0.067975504
high,0.13304,0.26491,0.21206,0.211,0.13633,0.138968392,0.276714647,0.2215096,0.220402365,0.142404997,2.950560929,0.052547308
again,0.13304,0.09389,0.07545,0.06607,0.0756,0.2996059,0.211440153,0.169913298,0.148789551,0.170251098,2.678639793,0.053786484
broke,0.13304,0.08383,0.03874,0.0341,0.02614,0.421212601,0.265410796,0.122653158,0.10796264,0.082760804,2.165648251,0.127602528
buying,0.13304,0.03689,0.03263,0.02451,0.0366,0.504570107,0.139909736,0.123753176,0.092957105,0.138809876,2.221526909,0.153225181
smoke,0.13304,0.01341,0.0102,0,0,0.849281838,0.085604852,0.06511331,0,0,1.215831471,0.326449866
more,0.13304,0.22131,0.31402,0.24723,0.22158,0.116991154,0.19461299,0.276139222,0.217406215,0.194850419,3.178511757,0.05108065
while,0.13304,0.1576,0.1305,0.10976,0.08485,0.216061713,0.255948031,0.211936663,0.178254162,0.137799432,2.765781567,0.039679811
recommend,0.13304,0.1509,0.06525,0.13108,0.21756,0.190648152,0.216241778,0.093504149,0.187839445,0.311766476,3.213834315,0.069759936
much,0.13304,0.22131,0.23449,0.20247,0.26019,0.126524013,0.210470756,0.223005231,0.192553495,0.247446505,3.223927722,0.040851485
ever,0.13304,0.03353,0.03263,0.04263,0.13592,0.352190602,0.088762409,0.086379881,0.112852416,0.359814692,3.039338187,0.127734686
replacement,0.13304,0.05365,0.05098,0.02877,0.03217,0.44553096,0.179665785,0.170724356,0.096346405,0.107732494,2.241083688,0.127132495
something,0.13304,0.07712,0.07952,0.04156,0.04223,0.356226738,0.206495836,0.212922055,0.111280692,0.113074678,2.418480735,0.089490889
see,0.13304,0.06371,0.06729,0.06394,0.04021,0.36133518,0.173035661,0.182758902,0.173660338,0.109209919,2.496374155,0.084841014
weeks,0.13304,0.06036,0.04282,0.02771,0.02091,0.467069232,0.21190844,0.15033001,0.097282685,0.073409633,2.098055048,0.141782129
another,0.13304,0.11736,0.11827,0.07353,0.08887,0.250513115,0.220987817,0.222701339,0.138456324,0.167341405,2.751125087,0.040894063
longer,0.13304,0.12742,0.14885,0.10017,0.04826,0.238534084,0.228457704,0.266880625,0.179599814,0.086527773,2.647129487,0.063340111
should,0.13304,0.07712,0.11011,0.04902,0.0374,0.327128771,0.189628464,0.27074676,0.120534068,0.091961937,2.460571934,0.088613154
almost,0.13304,0.0503,0.05709,0.04582,0.04223,0.405017048,0.153129566,0.173800536,0.139490989,0.128561861,2.433451047,0.103614659
their,0.11086,0.02683,0.01427,0.02984,0.04102,0.49753164,0.120411094,0.064042725,0.133919756,0.184094785,2.386634952,0.153599105
them,0.11086,0.09389,0.07952,0.0714,0.08485,0.251657132,0.213134477,0.180513938,0.162081177,0.192613275,2.830858985,0.030702056
design,0.11086,0.04695,0.0367,0.04156,0.03298,0.412042371,0.174502881,0.136405873,0.154469429,0.122579446,2.401040699,0.107446041
review,0.11086,0.04359,0.0469,0.02771,0.02654,0.43372457,0.170539906,0.183489828,0.108411581,0.103834116,2.278090767,0.121164329
burning,0.11086,0.04359,0.01223,0.01066,0.01528,0.575537327,0.226300488,0.063492888,0.055342124,0.079327173,1.836621327,0.197910093
great,0.11086,0.20455,0.24061,0.54029,0.81434,0.058022139,0.107057808,0.125930966,0.282778112,0.426210975,3.912097977,0.135871857
comes,0.11086,0.02012,0.0367,0.05648,0.04987,0.404554246,0.073422618,0.133926942,0.20610882,0.181987374,2.687552458,0.111885383
by,0.11086,0.09724,0.09991,0.09804,0.10375,0.217457827,0.190741467,0.195978815,0.19231071,0.203511181,2.973675951,0.009778749
said,0.11086,0.057,0.05098,0.04689,0.04343,0.358584552,0.184370552,0.164898434,0.151669039,0.140477423,2.531084228,0.080627884
few,0.11086,0.11401,0.06321,0.08632,0.07158,0.248576169,0.255639266,0.141732813,0.19355128,0.160500471,2.761760617,0.045721409
good,0.11086,0.23473,0.32625,0.55627,0.39088,0.06847479,0.144985454,0.201514524,0.343590757,0.241434475,3.544524673,0.092371961
little,0.11086,0.09054,0.18963,0.31863,0.19182,0.122975551,0.10043484,0.210354084,0.353452101,0.212783423,3.432633004,0.089066444
stars,0.11086,0.04359,0.05302,0.12681,0.01327,0.318975687,0.125420803,0.152553589,0.364868364,0.038181557,2.677859301,0.122747887
thing,0.11086,0.09054,0.07341,0.10337,0.07802,0.243007453,0.198465585,0.160916265,0.226589215,0.171021482,2.884151688,0.031388771
what,0.11086,0.17437,0.19167,0.1428,0.18981,0.136947042,0.21540191,0.236772863,0.176403009,0.234475176,3.156057368,0.038237399
handle,0.11086,0.1073,0.11215,0.12362,0.09812,0.200815144,0.194366452,0.203151888,0.223928992,0.177737524,2.9834073,0.014903357
other,0.11086,0.1576,0.23245,0.22592,0.19946,0.119681741,0.170141101,0.250947328,0.243897699,0.215332131,3.265057379,0.049194083
dry,0.11086,0.33197,0.33849,0.31863,0.36193,0.075833858,0.227084302,0.231544313,0.217959066,0.247578461,3.33436397,0.062820493
month,0.11086,0.06371,0.02447,0.04476,0.01769,0.423955027,0.243642204,0.093579104,0.171172894,0.067650771,2.214922177,0.127853998
refund,0.11086,0.02683,0.01427,0,0,0.729534088,0.176559621,0.093906291,0,0,1.364372203,0.272841227
terrible,0.11086,0.02347,0.0102,0,0,0.767037985,0.162388431,0.070573583,0,0,1.303535598,0.289723283
short,0.11086,0.08718,0.08972,0.07992,0.04745,0.267048876,0.210006504,0.216125069,0.192518006,0.114301544,2.677016838,0.049509404
bad,0.11086,0.06371,0.06933,0.02984,0.02453,0.371676669,0.213598418,0.232440406,0.100043585,0.082240923,2.307573675,0.10446881
completely,0.11086,0.03689,0.02243,0.01918,0.02413,0.519274907,0.172794979,0.105063469,0.089840274,0.113026371,2.104548222,0.16210435
plug,0.11086,0.03689,0.0469,0.05222,0.02815,0.403097957,0.134135699,0.170533052,0.1898771,0.102356192,2.454257872,0.105916923
end,0.08869,0.04024,0.03466,0.0373,0.02614,0.390653218,0.177245298,0.152667048,0.164295468,0.115138968,2.436021671,0.097553106
unit,0.08869,0.12742,0.09584,0.09165,0.05831,0.192007101,0.275854604,0.207486307,0.198415276,0.126236713,2.791019896,0.047576015
junk,0.08869,0.01341,0,0,0,0.868658178,0.131341822,0,0,0,1.131341822,0.33817679
same,0.08869,0.10395,0.10195,0.10657,0.09692,0.178063765,0.208701413,0.204685994,0.213961613,0.194587215,3.038307099,0.012673566
head,0.08869,0.06371,0.06729,0.05222,0.03499,0.288986641,0.20759205,0.219257087,0.170153144,0.114011079,2.612609971,0.057674997
actually,0.08869,0.03018,0.05505,0.05115,0.05469,0.317021733,0.107878181,0.196775808,0.182835287,0.195488991,2.831891621,0.067090815
seem,0.08869,0.03689,0.06321,0.04689,0.02131,0.345110705,0.143546441,0.245962878,0.182458461,0.082921514,2.514533639,0.089857425
comb,0.08869,0,0.03466,0.03943,0.02011,0.484936301,0,0.189512822,0.215594073,0.109956805,2.465635081,0.161027717
unfortunately,0.08869,0.03689,0.02855,0,0,0.575423344,0.239343411,0.185233245,0,0,1.609809901,0.211049117
exchange,0.08869,0,0,0,0,1,0,0,0,0,1,0.4
defective,0.08869,0.03018,0,0,0,0.746109195,0.253890805,0,0,0,1.253890805,0.290220424
returning,0.08869,0.04024,0.02447,0,0,0.578161669,0.26232073,0.159517601,0,0,1.581355932,0.213789123
works,0.08869,0.14419,0.28751,0.44225,0.40938,0.064641915,0.10509322,0.209552339,0.322334951,0.298377575,3.684713051,0.102043464
finally,0.08869,0.02347,0.03059,0.02877,0.05188,0.397000895,0.105058192,0.136929275,0.128782453,0.232229185,2.694180842,0.107621443
hard,0.08869,0.09389,0.06933,0.06607,0.0382,0.249003313,0.263602673,0.194648773,0.185496097,0.107249144,2.638385086,0.055296193
contact,0.08869,0,0,0,0,1,0,0,0,0,1,0.4
march,0.08869,0.01341,0,0,0,0.868658178,0.131341822,0,0,0,1.131341822,0.33817679
smell,0.08869,0.06371,0.03059,0.01918,0.01086,0.416326339,0.299065859,0.143594799,0.090034267,0.050978735,2.060273201,0.13718052
worst,0.08869,0.01677,0,0,0,0.840982363,0.159017637,0,0,0,1.159017637,0.326355004
worth,0.08869,0.05365,0.0469,0.05328,0.0941,0.263472164,0.159378528,0.139326243,0.158279365,0.279543699,3.031043907,0.059038862
base,0.08869,0,0.02039,0.03197,0,0.628784119,0,0.144558667,0.226657214,0,1.969088976,0.231361263
these,0.08869,0.06371,0.05505,0.05968,0.08566,0.251396015,0.180589019,0.156041838,0.169165793,0.242807336,2.971399416,0.039329055
once,0.08869,0.04695,0.02447,0.05115,0.03499,0.360162437,0.190659898,0.099370558,0.207715736,0.142091371,2.580913706,0.088632353
morning,0.08869,0.04024,0.02447,0.01172,0.02694,0.461782776,0.209517859,0.127408102,0.061022597,0.140268666,2.208476518,0.139120772
brand,0.08869,0.06371,0.04486,0.03197,0.04786,0.320076509,0.229925295,0.161896857,0.115377675,0.172723664,2.590746689,0.070243402
where,0.08869,0.06706,0.06525,0.04476,0.0378,0.292166293,0.220911846,0.214949269,0.147450257,0.124522335,2.591250494,0.059352784
sparks,0.08869,0.04024,0.01427,0,0,0.619343575,0.281005587,0.099650838,0,0,1.480307263,0.233444166
made,0.08869,0.06371,0.08156,0.05648,0.06072,0.252562934,0.18142727,0.232258799,0.160838364,0.172912632,2.820110491,0.035821216
way,0.08869,0.17772,0.12438,0.11616,0.09692,0.146869359,0.294301754,0.205971484,0.192359283,0.16049812,2.925315051,0.051710973
fit,0.08869,0.03353,0.06729,0.04049,0.03217,0.338291948,0.127894115,0.256665522,0.154441774,0.122706641,2.595377045,0.08436198
quality,0.08869,0.08718,0.08156,0.065,0.10295,0.208495933,0.204946166,0.191734449,0.152804551,0.242018901,3.014904321,0.028837348
replace,0.08869,0.057,0.06117,0.05222,0.04223,0.294348014,0.18917394,0.203013508,0.17330988,0.140154658,2.675749228,0.051617168
blowdryer,0.08869,0.02012,0.02447,0.03943,0.03056,0.43631623,0.09898165,0.120381758,0.193978452,0.15034191,2.523048163,0.122385716
enough,0.08869,0.19784,0.11215,0.11403,0.10335,0.14396325,0.321137552,0.182043957,0.185095608,0.167759634,2.911550823,0.062287118
think,0.08869,0.05365,0.09584,0.09378,0.07359,0.218690667,0.132289483,0.236321045,0.231241524,0.18145728,3.024485267,0.038918219
better,0.08869,0.20119,0.15293,0.12148,0.12306,0.129031789,0.292703863,0.22249218,0.176736743,0.179035426,2.984040154,0.054985605
were,0.08869,0.057,0.07545,0.0746,0.05308,0.25425721,0.163408061,0.216300671,0.213863884,0.152170174,2.84628175,0.037492469
stuck,0.08869,0.03689,0.0102,0,0,0.653188982,0.271689498,0.07512152,0,0,1.421932538,0.247432525
stop,0.08869,0.02347,0.01223,0,0,0.712999437,0.188680762,0.098319801,0,0,1.385320363,0.265945638
andis,0.08869,0.04359,0.0367,0.05435,0.03941,0.337558042,0.165905458,0.139681815,0.206858491,0.149996194,2.665829337,0.072484972
know,0.08869,0.1006,0.07341,0.04049,0.05509,0.24754382,0.280785977,0.204895612,0.113012169,0.15376242,2.644663392,0.060853188
replaced,0.08869,0.04024,0.03059,0.02558,0.02775,0.416678412,0.189053324,0.143716232,0.120178529,0.130373502,2.358515386,0.110866174
long,0.08869,0.21125,0.21614,0.21313,0.23807,0.0916901,0.218395914,0.223451327,0.220339509,0.246123149,3.310809693,0.055064416
professional,0.08869,0.02347,0.03874,0.03517,0.05429,0.368988184,0.097645199,0.161174904,0.146322183,0.225869529,2.762439674,0.09390574
loved,0.08869,0.06036,0.03059,0.01492,0.06957,0.335781623,0.228523833,0.115814182,0.056487336,0.263393026,2.68318631,0.100947581
piece,0.08869,0.02683,0.01835,0.01705,0,0.587662338,0.177776305,0.121587596,0.112973761,0,1.75987278,0.202236521
been,0.08869,0.12407,0.07748,0.13534,0.14879,0.154412661,0.216010586,0.134895625,0.235632084,0.259049045,3.228894267,0.047601595
june,0.08869,0,0,0,0,1,0,0,0,0,1,0.4
joke,0.08869,0,0,0,0,1,0,0,0,0,1,0.4
maybe,0.08869,0.04695,0.03466,0.0341,0.02051,0.394335512,0.208750167,0.154106087,0.151616202,0.091192032,2.336579076,0.104047368
thought,0.08869,0.11401,0.09176,0.065,0.05027,0.21645962,0.278256413,0.223952359,0.158641056,0.122690552,2.692846509,0.054140583
place,0.08869,0.05365,0.03466,0.04263,0.02614,0.36086585,0.218293526,0.141026163,0.173454856,0.106359605,2.446148838,0.088502606
say,0.08869,0.03018,0.05302,0.07353,0.06273,0.287814376,0.097939315,0.172059062,0.238617556,0.20356969,2.972188869,0.063894448
then,0.08869,0.13748,0.0836,0.07992,0.06153,0.196556004,0.304685076,0.185275475,0.177119809,0.136363636,2.752049998,0.056143972
please,0.08869,0,0.01223,0,0,0.878814903,0,0.121185097,0,0,1.242370194,0.34263726
low,0.06652,0.18443,0.16924,0.16091,0.09732,0.098051355,0.271852245,0.249461985,0.237183456,0.14345096,3.056130421,0.067205897
damaged,0.06652,0.01006,0,0,0,0.868634108,0.131365892,0,0,0,1.131365892,0.338166294
look,0.06652,0.057,0.04894,0.04902,0.05107,0.244065309,0.209135938,0.179563383,0.179856907,0.187378463,2.857347276,0.024527208
definitely,0.06652,0.02012,0.06321,0.065,0.08324,0.223154081,0.067496394,0.212050052,0.21805495,0.279244523,3.262739441,0.070489994
today,0.06652,0.03689,0.01835,0,0.01126,0.500075177,0.277326718,0.137949181,0,0.084648925,1.891820779,0.17503183
ordered,0.06652,0.08048,0.04894,0.02984,0.07078,0.224305368,0.271378473,0.165025627,0.100620448,0.238670084,2.857971405,0.060465717
ll,0.06652,0.057,0.06933,0.04156,0.0378,0.244370155,0.209397157,0.254693068,0.152676243,0.138863378,2.73226553,0.046958649
go,0.06652,0.07377,0.05302,0.05861,0.07198,0.205372028,0.22775548,0.163692498,0.180950911,0.222229083,2.98690954,0.024390408
three,0.06652,0.04695,0.05913,0.03304,0.04383,0.266645288,0.188198982,0.237022488,0.132440774,0.175692468,2.762336153,0.047130941
drying,0.06652,0.14419,0.14681,0.16305,0.1874,0.093958784,0.203666822,0.207367544,0.230306369,0.264700482,3.368122943,0.057301124
gave,0.06652,0.05365,0.04486,0.03943,0.02332,0.292036175,0.235534287,0.19694442,0.173105628,0.102379489,2.558257968,0.063238835
old,0.06652,0.15425,0.13458,0.15452,0.19906,0.093831549,0.217581426,0.189835386,0.217962281,0.280789359,3.374296475,0.060883052
which,0.06652,0.21796,0.18148,0.21846,0.18016,0.076939092,0.252099285,0.209905388,0.252677601,0.208378635,3.263457401,0.064500497
burnt,0.06652,0.01677,0,0,0,0.798655301,0.201344699,0,0,0,1.201344699,0.309318599
daily,0.06652,0.02347,0.01631,0.03197,0.02775,0.400674618,0.14136851,0.098241176,0.192567161,0.167148536,2.584146488,0.105068813
wall,0.06652,0.1006,0.06525,0.12681,0.10375,0.143693431,0.217311473,0.140950036,0.273929104,0.224115957,3.217462683,0.050998249
want,0.06652,0.08383,0.06525,0.08099,0.07158,0.180677404,0.227693728,0.177227911,0.219979901,0.194421055,3.019773474,0.020441108
hoping,0.06652,0.04024,0.04282,0.01492,0,0.4043769,0.244620061,0.260303951,0.090699088,0,2.037325228,0.140956818
box,0.06652,0.05365,0.04486,0.02558,0.0181,0.318719755,0.257055244,0.21493939,0.122562407,0.086723204,2.401514063,0.085324181
plugged,0.06652,0,0.01631,0,0,0.803090668,0,0.196909332,0,0,1.393818665,0.311039517
week,0.06652,0.07712,0.02243,0.02451,0.02373,0.310391489,0.35985255,0.104661472,0.114367038,0.110727451,2.355186412,0.111472997
blew,0.06652,0.03018,0.01631,0.01492,0,0.51997186,0.235910263,0.127491597,0.11662628,0,1.840772297,0.176567372
poor,0.06652,0.01341,0,0,0,0.8322282,0.1677718,0,0,0,1.1677718,0.322723149
fall,0.06652,0.02683,0.01427,0.01066,0,0.562394319,0.22683463,0.120645925,0.090125127,0,1.73850186,0.195150863
model,0.06652,0.0503,0.10603,0.08632,0.07399,0.173608936,0.131276751,0.276725128,0.225284476,0.193104708,3.132999269,0.048975439
being,0.06652,0.06371,0.05913,0.05009,0.04544,0.233493629,0.223630173,0.207553793,0.175822247,0.159500158,2.804205132,0.028149845
fan,0.06652,0.05365,0.05709,0.04795,0.03539,0.255257099,0.205871067,0.219071374,0.183998465,0.135801995,2.739217191,0.039570106
home,0.06652,0.03689,0.03466,0.04156,0.09893,0.23879954,0.132431074,0.124425617,0.149195864,0.355147904,3.249461516,0.087674835
why,0.06652,0.03353,0.03059,0.02984,0.02815,0.352648041,0.177755394,0.162169326,0.158193288,0.14923395,2.573609712,0.076879646
power,0.06652,0.14754,0.14885,0.16518,0.17735,0.094295759,0.209146065,0.211003062,0.234151735,0.251403379,3.339220912,0.055112164
attachments,0.06652,0.08048,0.06117,0.05328,0.05791,0.208291583,0.252004008,0.191539329,0.166833667,0.181331413,2.860909319,0.029302805
wish,0.06652,0.02683,0.07545,0.09911,0.03499,0.219610432,0.088577088,0.24909211,0.327203698,0.115516672,3.030439089,0.087781414
without,0.06652,0.07377,0.04894,0.09271,0.113,0.168430648,0.186787867,0.123917557,0.234744518,0.286119411,3.283334177,0.055827336
