-----------------------------------------------
248665 words be counted! 
Details are as follow:
no.	word	time	frequency
148  	take            	  190	            0.076%
149  	our             	  190	            0.076%
150  	super           	  187	            0.075%
151  	loves           	  187	            0.075%
152  	again           	  186	            0.075%
153  	many            	  185	            0.074%
154  	button          	  185	            0.074%
155  	always          	  185	            0.074%
156  	wanted          	  184	            0.074%
157  	model           	  184	            0.074%
158  	frizz           	  183	            0.074%
159  	think           	  183	            0.074%
160  	down            	  182	            0.073%
161  	A               	  179	            0.072%
162  	go              	  177	            0.071%
163  	few             	  177	            0.071%
164  	want            	  176	            0.071%
165  	money           	  175	            0.070%
166  	didn            	  175	            0.070%
167  	ordered         	  175	            0.070%
168  	most            	  174	            0.070%
169  	year            	  171	            0.069%
170  	strong          	  170	            0.068%
171  	daughter        	  167	            0.067%
172  	pretty          	  166	            0.067%
173  	loved           	  166	            0.067%
174  	bit             	  164	            0.066%
175  	color           	  163	            0.066%
176  	feel            	  161	            0.065%
177  	owned           	  159	            0.064%
178  	say             	  156	            0.063%
179  	amazing         	  155	            0.062%
180  	months          	  153	            0.062%
181  	diffuser        	  153	            0.062%
182  	looks           	  153	            0.062%
183  	different       	  153	            0.062%
184  	smooth          	  152	            0.061%
185  	hold            	  152	            0.061%
186  	needed          	  151	            0.061%
187  	made            	  150	            0.060%
188  	faster          	  150	            0.060%
189  	then            	  148	            0.060%
190  	came            	  147	            0.059%
191  	unit            	  145	            0.058%
192  	second          	  145	            0.058%
193  	attachments     	  142	            0.057%
194  	style           	  141	            0.057%
195  	keep            	  141	            0.057%
196  	expensive       	  140	            0.056%
197  	pleased         	  140	            0.056%
198  	worked          	  140	            0.056%
199  	who             	  139	            0.056%
200  	exactly         	  138	            0.055%
201  	several         	  137	            0.055%
202  	loud            	  137	            0.055%
203  	hand            	  137	            0.055%
204  	frizzy          	  137	            0.055%
205  	actually        	  135	            0.054%
206  	know            	  135	            0.054%
207  	put             	  135	            0.054%
208  	professional    	  134	            0.054%
209  	big             	  133	            0.053%
210  	salon           	  133	            0.053%
211  	were            	  131	            0.053%
212  	glad            	  130	            0.052%
213  	dried           	  130	            0.052%
214  	straight        	  129	            0.052%
215  	look            	  127	            0.051%
216  	into            	  127	            0.051%
217  	both            	  126	            0.051%
218  	cold            	  126	            0.051%
219  	finally         	  126	            0.051%
220  	around          	  126	            0.051%
221  	soft            	  126	            0.051%
222  	quite           	  126	            0.051%
223  	awesome         	  125	            0.050%
224  	thought         	  125	            0.050%
225  	item            	  123	            0.049%
226  	going           	  123	            0.049%
227  	decided         	  123	            0.049%
228  	seems           	  122	            0.049%
229  	comes           	  122	            0.049%
230  	having          	  122	            0.049%
231  	longer          	  120	            0.048%
232  	tried           	  120	            0.048%
233  	night           	  119	            0.048%
234  	easily          	  119	            0.048%
235  	done            	  119	            0.048%
236  	plus            	  119	            0.048%
237  	anyone          	  118	            0.047%
238  	brand           	  118	            0.047%
239  	ago             	  118	            0.047%
240  	short           	  118	            0.047%
241  	LOVE            	  117	            0.047%
242  	ionic           	  116	            0.047%
243  	medium          	  116	            0.047%
244  	space           	  116	            0.047%
245  	feature         	  115	            0.046%
246  	though          	  114	            0.046%
247  	getting         	  113	            0.045%
248  	recommended     	  113	            0.045%
249  	perfectly       	  113	            0.045%
250  	being           	  113	            0.045%
251  	working         	  112	            0.045%
252  	quick           	  111	            0.045%
253  	took            	  109	            0.044%
254  	cheap           	  109	            0.044%
255  	flat            	  109	            0.044%
256  	away            	  108	            0.043%
257  	three           	  108	            0.043%
258  	sure            	  108	            0.043%
259  	yet             	  106	            0.043%
260  	difference      	  106	            0.043%
261  	said            	  106	            0.043%
262  	shiny           	  106	            0.043%
263  	days            	  106	            0.043%
264  	length          	  105	            0.042%
265  	something       	  105	            0.042%
266  	replace         	  105	            0.042%
267  	brush           	  105	            0.042%
268  	temperature     	  105	            0.042%
269  	almost          	  104	            0.042%
270  	drys            	  104	            0.042%
271  	quieter         	  101	            0.041%
272  	convenient      	  101	            0.041%
273  	see             	  100	            0.040%
274  	folds           	  100	            0.040%
275  	products        	  100	            0.040%
276  	voltage         	  100	            0.040%
277  	try             	  100	            0.040%
278  	mine            	   99	            0.040%
279  	lots            	   99	            0.040%
280  	their           	   98	            0.039%
281  	IT              	   98	            0.039%
282  	andis           	   97	            0.039%
283  	times           	   96	            0.039%
284  	styling         	   95	            0.038%
285  	hard            	   94	            0.038%
286  	ll              	   94	            0.038%
287  	expected        	   94	            0.038%
288  	full            	   94	            0.038%
289  	able            	   93	            0.037%
290  	mount           	   93	            0.037%
291  	speeds          	   93	            0.037%
292  	store           	   93	            0.037%
293  	arrived         	   93	            0.037%
294  	where           	   92	            0.037%
295  	should          	   92	            0.037%
296  	leaves          	   92	            0.037%
297  	liked           	   92	            0.037%
298  	others          	   92	            0.037%
299  	ones            	   91	            0.037%
300  	problems        	   91	            0.037%
301  	traveling       	   91	            0.037%
302  	read            	   91	            0.037%
303  	absolutely      	   90	            0.036%
304  	d               	   90	            0.036%
305  	feels           	   90	            0.036%
306  	own             	   90	            0.036%
307  	buying          	   90	            0.036%
308  	myself          	   89	            0.036%
309  	couldn          	   89	            0.036%
310  	fits            	   89	            0.036%
311  	such            	   89	            0.036%
312  	anything        	   89	            0.036%
313  	cut             	   88	            0.035%
314  	switch          	   88	            0.035%
315  	previous        	   88	            0.035%
316  	fan             	   88	            0.035%
317  	isn             	   88	            0.035%
318  	head            	   87	            0.035%
319  	attachment      	   87	            0.035%
320  	wish            	   87	            0.035%
321  	give            	   87	            0.035%
322  	blower          	   86	            0.035%
323  	once            	   86	            0.035%
324  	problem         	   86	            0.035%
325  	usually         	   86	            0.035%
326  	gift            	   85	            0.034%
327  	re              	   84	            0.034%
328  	won             	   84	            0.034%
329  	died            	   83	            0.033%
330  	everything      	   83	            0.033%
331  	extremely       	   83	            0.033%
332  	past            	   83	            0.033%
333  	design          	   82	            0.033%
334  	easier          	   82	            0.033%
335  	through         	   82	            0.033%
336  	however         	   81	            0.033%
337  	ceramic         	   81	            0.033%
338  	warm            	   81	            0.033%
339  	shipping        	   80	            0.032%
340  	uses            	   80	            0.032%
341  	wonderful       	   80	            0.032%
342  	people          	   79	            0.032%
343  	order           	   79	            0.032%
344  	replacement     	   79	            0.032%
345  	thanks          	   78	            0.031%
346  	extra           	   78	            0.031%
347  	thank           	   78	            0.031%
348  	fit             	   78	            0.031%
349  	noise           	   78	            0.031%
350  	received        	   78	            0.031%
351  	buttons         	   77	            0.031%
352  	went            	   77	            0.031%
353  	shot            	   77	            0.031%
354  	looked          	   76	            0.031%
355  	flow            	   75	            0.030%
356  	those           	   75	            0.030%
357  	mounted         	   75	            0.030%
358  	folding         	   74	            0.030%
359  	iron            	   74	            0.030%
360  	blows           	   74	            0.030%
361  	AND             	   74	            0.030%
362  	believe         	   73	            0.029%
363  	deal            	   73	            0.029%
364  	blowdryer       	   73	            0.029%
365  	fact            	   72	            0.029%
366  	under           	   70	            0.028%
367  	results         	   70	            0.028%
368  	set             	   70	            0.028%
369  	nicely          	   70	            0.028%
370  	husband         	   70	            0.028%
371  	plug            	   70	            0.028%
372  	lasted          	   70	            0.028%
373  	especially      	   69	            0.028%
374  	christmas       	   69	            0.028%
375  	volume          	   69	            0.028%
376  	why             	   69	            0.028%
377  	hands           	   69	            0.028%
378  	compared        	   69	            0.028%
379  	replaced        	   69	            0.028%
380  	life            	   68	            0.027%
381  	daily           	   68	            0.027%
382  	satisfied       	   68	            0.027%
383  	T               	   68	            0.027%
384  	value           	   67	            0.027%
385  	change          	   67	            0.027%
386  	counter         	   67	            0.027%
387  	THE             	   66	            0.027%
388  	come            	   66	            0.027%
389  	morning         	   66	            0.027%
390  	couple          	   66	            0.027%
391  	here            	   66	            0.027%
392  	favorite        	   66	            0.027%
393  	stylist         	   66	            0.027%
394  	review          	   65	            0.026%
395  	natural         	   65	            0.026%
396  	end             	   65	            0.026%
397  	trip            	   65	            0.026%
398  	place           	   64	            0.026%
399  	haven           	   64	            0.026%
400  	recently        	   64	            0.026%
401  	handy           	   64	            0.026%
402  	broke           	   64	            0.026%
403  	blowing         	   64	            0.026%
404  	fantastic       	   64	            0.026%
405  	hope            	   63	            0.025%
406  	making          	   63	            0.025%
407  	features        	   63	            0.025%
408  	needs           	   63	            0.025%
409  	things          	   63	            0.025%
410  	clean           	   63	            0.025%
411  	wavy            	   62	            0.025%
412  	dual            	   62	            0.025%
413  	room            	   62	            0.025%
414  	must            	   62	            0.025%
415  	mom             	   62	            0.025%
416  	drier           	   62	            0.025%
417  	heavier         	   61	            0.025%
418  	probably        	   61	            0.025%
419  	leave           	   61	            0.025%
420  	noisy           	   60	            0.024%
421  	cost            	   60	            0.024%
422  	least           	   59	            0.024%
423  	he              	   59	            0.024%
424  	completely      	   59	            0.024%
425  	hairdryers      	   59	            0.024%
426  	either          	   59	            0.024%
427  	week            	   59	            0.024%
428  	regular         	   59	            0.024%
429  	amount          	   59	            0.024%
430  	says            	   58	            0.023%
431  	top             	   58	            0.023%
432  	smaller         	   58	            0.023%
433  	started         	   58	            0.023%
434  	side            	   58	            0.023%
435  	gave            	   57	            0.023%
436  	options         	   57	            0.023%
437  	bad             	   57	            0.023%
438  	lighter         	   56	            0.023%
439  	pink            	   56	            0.023%
440  	simple          	   56	            0.023%
441  	spend           	   55	            0.022%
442  	everyday        	   55	            0.022%
443  	turn            	   55	            0.022%
444  	controls        	   55	            0.022%
445  	overall         	   55	            0.022%
446  	free            	   55	            0.022%
447  	until           	   55	            0.022%
448  	house           	   55	            0.022%
449  	shoulder        	   55	            0.022%
450  	each            	   55	            0.022%
451  	gives           	   55	            0.022%
452  	body            	   55	            0.022%
453  	control         	   55	            0.022%
454  	hotels          	   54	            0.022%
455  	tell            	   53	            0.021%
456  	watt            	   53	            0.021%
457  	bag             	   53	            0.021%
458  	lasts           	   53	            0.021%
459  	seem            	   53	            0.021%
460  	delivery        	   53	            0.021%
461  	part            	   52	            0.021%
462  	comfortable     	   52	            0.021%
463  	stores          	   52	            0.021%
464  	might           	   52	            0.021%
465  	burn            	   52	            0.021%
466  	weeks           	   52	            0.021%
467  	wouldn          	   51	            0.021%
468  	pack            	   51	            0.021%
469  	maybe           	   51	            0.021%
470  	issues          	   51	            0.021%
471  	black           	   51	            0.021%
472  	impressed       	   51	            0.021%
473  	course          	   51	            0.021%
474  	friend          	   51	            0.021%
475  	nothing         	   51	            0.021%
476  	damage          	   50	            0.020%
477  	case            	   50	            0.020%
478  	keeps           	   50	            0.020%
479  	service         	   50	            0.020%
480  	plenty          	   50	            0.020%
481  	next            	   50	            0.020%
482  	type            	   50	            0.020%
483  	already         	   50	            0.020%
484  	straighten      	   50	            0.020%
485  	sturdy          	   50	            0.020%
486  	pro             	   49	            0.020%
487  	instead         	   49	            0.020%
488  	exact           	   49	            0.020%
489  	comb            	   49	            0.020%
490  	lower           	   49	            0.020%
491  	close           	   49	            0.020%
492  	silky           	   49	            0.020%
493  	daughters       	   49	            0.020%
494  	helps           	   49	            0.020%
495  	totally         	   49	            0.020%
496  	touch           	   49	            0.020%
497  	forever         	   49	            0.020%
498  	kind            	   49	            0.020%
499  	efficient       	   48	            0.019%
500  	reasonable      	   48	            0.019%
501  	let             	   48	            0.019%
502  	curls           	   48	            0.019%
503  	large           	   48	            0.019%
504  	remington       	   48	            0.019%
505  	although        	   48	            0.019%
506  	complaints      	   48	            0.019%
507  	round           	   47	            0.019%
508  	concentrator    	   47	            0.019%
509  	older           	   47	            0.019%
510  	surprised       	   47	            0.019%
511  	smoother        	   47	            0.019%
512  	storage         	   47	            0.019%
513  	thin            	   47	            0.019%
514  	drawer          	   46	            0.018%
515  	wattage         	   46	            0.018%
516  	saw             	   46	            0.018%
517  	trying          	   46	            0.018%
518  	third           	   46	            0.018%
519  	motor           	   46	            0.018%
520  	fairly          	   46	            0.018%
521  	GREAT           	   46	            0.018%
522  	similar         	   46	            0.018%
523  	vacation        	   46	            0.018%
524  	turbo           	   45	            0.018%
525  	box             	   45	            0.018%
526  	within          	   45	            0.018%
527  	nozzle          	   45	            0.018%
528  	cheaper         	   45	            0.018%
529  	left            	   45	            0.018%
530  	sister          	   45	            0.018%
531  	shine           	   45	            0.018%
532  	HAIR            	   45	            0.018%
533  	VERY            	   44	            0.018%
534  	beat            	   44	            0.018%
535  	help            	   44	            0.018%
536  	install         	   44	            0.018%
537  	month           	   44	            0.018%
538  	solid           	   43	            0.017%
539  	priced          	   43	            0.017%
540  	issue           	   43	            0.017%
541  	hairdresser     	   42	            0.017%
542  	ion             	   42	            0.017%
543  	friends         	   42	            0.017%
544  	ready           	   42	            0.017%
545  	expectations    	   42	            0.017%
546  	real            	   42	            0.017%
547  	disappointed    	   42	            0.017%
548  	cuts            	   42	            0.017%
549  	water           	   42	            0.017%
550  	sound           	   41	            0.016%
551  	wrong           	   41	            0.016%
552  	family          	   41	            0.016%
553  	DRYER           	   41	            0.016%
554  	described       	   41	            0.016%
555  	europe          	   41	            0.016%
556  	everyone        	   41	            0.016%
557  	finish          	   41	            0.016%
558  	else            	   41	            0.016%
559  	cute            	   40	            0.016%
560  	noticed         	   40	            0.016%
561  	yes             	   40	            0.016%
562  	advertised      	   40	            0.016%
563  	wet             	   40	            0.016%
564  	inside          	   40	            0.016%
565  	level           	   40	            0.016%
566  	THIS            	   40	            0.016%
567  	W               	   39	            0.016%
568  	bright          	   39	            0.016%
569  	available       	   39	            0.016%
570  	point           	   39	            0.016%
571  	option          	   39	            0.016%
572  	paid            	   39	            0.016%
573  	performance     	   39	            0.016%
574  	plastic         	   39	            0.016%
575  	immediately     	   39	            0.016%
576  	huge            	   39	            0.016%
577  	may             	   39	            0.016%
578  	reason          	   39	            0.016%
579  	guest           	   38	            0.015%
580  	online          	   38	            0.015%
581  	bath            	   38	            0.015%
582  	five            	   38	            0.015%
583  	sized           	   38	            0.015%
584  	live            	   38	            0.015%
585  	goes            	   38	            0.015%
586  	hang            	   38	            0.015%
587  	IS              	   38	            0.015%
588  	sometimes       	   37	            0.015%
589  	revlon          	   37	            0.015%
590  	wind            	   37	            0.015%
591  	often           	   37	            0.015%
592  	burning         	   37	            0.015%
593  	bonus           	   37	            0.015%
594  	stays           	   37	            0.015%
595  	likes           	   37	            0.015%
596  	watts           	   37	            0.015%
597  	tired           	   37	            0.015%
598  	doing           	   37	            0.015%
599  	spent           	   36	            0.014%
600  	retracts        	   36	            0.014%
601  	save            	   36	            0.014%
602  	warranty        	   36	            0.014%
603  	knew            	   36	            0.014%
604  	min             	   36	            0.014%
605  	tiny            	   36	            0.014%
606  	tourmaline      	   36	            0.014%
607  	heating         	   36	            0.014%
608  	temp            	   35	            0.014%
609  	condition       	   35	            0.014%
610  	beautiful       	   35	            0.014%
611  	built           	   35	            0.014%
612  	expect          	   35	            0.014%
613  	seller          	   35	            0.014%
614  	anyway          	   35	            0.014%
615  	itself          	   35	            0.014%
616  	wasn            	   35	            0.014%
617  	softer          	   35	            0.014%
618  	customer        	   35	            0.014%
619  	due             	   35	            0.014%
620  	airflow         	   35	            0.014%
621  	seen            	   35	            0.014%
622  	durable         	   35	            0.014%
623  	naturally       	   34	            0.014%
624  	etc             	   34	            0.014%
625  	MY              	   34	            0.014%
626  	notice          	   34	            0.014%
627  	multiple        	   34	            0.014%
628  	wash            	   34	            0.014%
629  	oil             	   34	            0.014%
630  	bonnet          	   34	            0.014%
631  	together        	   34	            0.014%
632  	whole           	   34	            0.014%
633  	reading         	   34	            0.014%
634  	taking          	   34	            0.014%
635  	break           	   34	            0.014%
636  	negative        	   33	            0.013%
637  	someone         	   33	            0.013%
638  	sink            	   33	            0.013%
639  	mins            	   33	            0.013%
640  	push            	   33	            0.013%
641  	us              	   33	            0.013%
642  	higher          	   33	            0.013%
643  	quicker         	   32	            0.013%
644  	his             	   32	            0.013%
645  	skin            	   32	            0.013%
646  	simply          	   32	            0.013%
647  	blast           	   32	            0.013%
648  	hour            	   32	            0.013%
649  	wait            	   32	            0.013%
650  	rather          	   32	            0.013%
651  	local           	   32	            0.013%
652  	idea            	   32	            0.013%
653  	leaving         	   32	            0.013%
654  	beauty          	   31	            0.012%
655  	holding         	   31	            0.012%
656  	mirror          	   31	            0.012%
657  	guess           	   31	            0.012%
658  	normal          	   31	            0.012%
659  	bulky           	   31	            0.012%
660  	seemed          	   31	            0.012%
661  	added           	   31	            0.012%
662  	stars           	   31	            0.012%
663  	stayed          	   31	            0.012%
664  	experience      	   31	            0.012%
665  	fold            	   31	            0.012%
666  	arm             	   31	            0.012%
667  	figured         	   31	            0.012%
668  	mother          	   31	            0.012%
669  	ask             	   31	            0.012%
670  	filter          	   30	            0.012%
671  	stay            	   30	            0.012%
672  	between         	   30	            0.012%
673  	difficult       	   30	            0.012%
674  	chose           	   30	            0.012%
675  	models          	   30	            0.012%
676  	tools           	   30	            0.012%
677  	feeling         	   30	            0.012%
678  	based           	   30	            0.012%
679  	allows          	   30	            0.012%
680  	delivered       	   30	            0.012%
681  	grip            	   30	            0.012%
682  	complaint       	   30	            0.012%
683  	dog             	   30	            0.012%
684  	accidentally    	   30	            0.012%
685  	technology      	   30	            0.012%
686  	brands          	   30	            0.012%
687  	ends            	   30	            0.012%
688  	supposed        	   29	            0.012%
689  	move            	   29	            0.012%
690  	red             	   29	            0.012%
691  	suitcase        	   29	            0.012%
692  	investment      	   29	            0.012%
693  	shower          	   29	            0.012%
694  	highest         	   29	            0.012%
695  	dropped         	   29	            0.012%
696  	happier         	   29	            0.012%
697  	turned          	   29	            0.012%
698  	useful          	   29	            0.012%
699  	pay             	   29	            0.012%
700  	puts            	   29	            0.012%
701  	healthy         	   29	            0.012%
702  	NOT             	   29	            0.012%
703  	soon            	   29	            0.012%
704  	curl            	   29	            0.012%
705  	version         	   28	            0.011%
706  	switches        	   28	            0.011%
707  	held            	   28	            0.011%
708  	penny           	   28	            0.011%
709  	told            	   28	            0.011%
710  	baby            	   28	            0.011%
711  	staying         	   28	            0.011%
712  	bigger          	   28	            0.011%
713  	twice           	   28	            0.011%
714  	portable        	   28	            0.011%
715  	returned        	   28	            0.011%
716  	prefer          	   28	            0.011%
717  	shipped         	   28	            0.011%
718  	during          	   28	            0.011%
719  	range           	   28	            0.011%
720  	face            	   27	            0.011%
721  	inexpensive     	   27	            0.011%
722  	retract         	   27	            0.011%
723  	cannot          	   27	            0.011%
724  	felt            	   27	            0.011%
725  	kept            	   27	            0.011%
726  	process         	   27	            0.011%
727  	sleek           	   27	            0.011%
728  	elchim          	   27	            0.011%
729  	anymore         	   27	            0.011%
730  	today           	   27	            0.011%
731  	slightly        	   27	            0.011%
732  	nearly          	   27	            0.011%
733  	name            	   27	            0.011%
734  	reliable        	   27	            0.011%
735  	american        	   27	            0.011%
736  	choose          	   27	            0.011%
737  	rollers         	   27	            0.011%
738  	addition        	   27	            0.011%
739  	smell           	   27	            0.011%
740  	reasonably      	   27	            0.011%
741  	effective       	   26	            0.010%
742  	non             	   26	            0.010%
743  	fly             	   26	            0.010%
744  	guy             	   26	            0.010%
745  	bathrooms       	   26	            0.010%
746  	levels          	   26	            0.010%
747  	certainly       	   26	            0.010%
748  	installed       	   26	            0.010%
749  	US              	   26	            0.010%
750  	FOR             	   25	            0.010%
751  	nightlight      	   25	            0.010%
752  	heats           	   25	            0.010%
753  	asked           	   25	            0.010%
754  	gym             	   25	            0.010%
755  	means           	   25	            0.010%
756  	carry           	   25	            0.010%
757  	middle          	   25	            0.010%
758  	stopped         	   25	            0.010%
759  	scalp           	   25	            0.010%
760  	company         	   25	            0.010%
761  	line            	   25	            0.010%
762  	coarse          	   25	            0.010%
763  	holds           	   25	            0.010%
764  	sedu            	   25	            0.010%
765  	four            	   25	            0.010%
766  	choice          	   25	            0.010%
767  	ok              	   25	            0.010%
768  	market          	   25	            0.010%
769  	oh              	   25	            0.010%
770  	V               	   25	            0.010%
771  	blue            	   25	            0.010%
772  	static          	   25	            0.010%
773  	fancy           	   25	            0.010%
774  	none            	   25	            0.010%
-----------------------------------------------
The program cost 0.3050 second(s)
